"SG_UF";"NM_UE";"CD_CARGO";"NM_CANDIDATO";"DS_SITUACAO_CANDIDATURA";"NR_PARTIDO";"SG_PARTIDO";"NR_IDADE_DATA_POSSE";"CD_GENERO";"CD_GRAU_INSTRUCAO";"CD_COR_RACA";"CD_ESTADO_CIVIL";"ST_REELEICAO";"eleito";"DS_SIT_TOT_TURNO";"NUM_VOTOS"
"AP";"MAZAGÃO";13;"LUCIMAR TRINDADE PINTO BAIA";"APTO";55;"PSD";54;4;8;"01";3;"N";1;"ELEITO POR MEDIA";271
"AP";"MACAPÁ";13;"ROCICLAUDIO RODRIGUES DA SILVA";"APTO";25;"DEM";50;2;8;"01";7;"N";2;"ELEITO POR QP";3740
"AP";"OIAPOQUE";13;"CREUSA MARIA DA SILVA RIBEIRO";"APTO";20;"PSC";64;4;6;"03";5;"N";1;"ELEITO POR MEDIA";180
"AP";"MAZAGÃO";13;"JACIRENE NUNES PINTO";"APTO";90;"PROS";46;4;8;"03";1;"N";1;"ELEITO POR MEDIA";294
"AP";"PEDRA BRANCA DO AMAPARI";13;"JOSE AYRES ANDRADE ANTUNES";"APTO";10;"REPUBLICANOS";42;2;8;"02";1;"N";1;"ELEITO POR MEDIA";207
"AP";"VITÓRIA DO JARI";13;"RAFAEL DA SILVA TOSCANO";"APTO";18;"REDE";34;2;7;"01";1;"N";2;"ELEITO POR QP";250
"AP";"VITÓRIA DO JARI";13;"CLEISON  ALVES DA SILVA INAJOSA";"APTO";15;"MDB";41;2;4;"01";3;"N";2;"ELEITO POR QP";201
"AP";"SANTANA";13;"SEBASTIÃO LUIZ DA SILVA SUZANO";"APTO";10;"REPUBLICANOS";46;2;7;"02";3;"N";1;"ELEITO POR MEDIA";741
"AP";"OIAPOQUE";13;"NOEL HENRIQUE DOS SANTOS";"APTO";12;"PDT";30;2;8;"05";1;"N";1;"ELEITO POR MEDIA";215
"AP";"SERRA DO NAVIO";13;"ZANDER GUEDES FERREIRA";"APTO";55;"PSD";43;2;7;"02";3;"N";1;"ELEITO POR MEDIA";82
"AP";"CUTIAS";13;"MACLE LEITE DIAS";"APTO";22;"PL";39;2;8;"03";1;"N";2;"ELEITO POR QP";196
"AP";"LARANJAL DO JARI";13;"MARLON BARBOSA MOURA";"APTO";25;"DEM";42;2;6;"03";1;"N";2;"ELEITO POR QP";551
"AP";"CALÇOENE";13;"RAIMUNDO NONATO SOUSA";"APTO";12;"PDT";47;2;5;"03";3;"N";1;"ELEITO POR MEDIA";161
"AP";"PRACUÚBA";13;"CASSIO RODRIGO SILVA";"APTO";45;"PSDB";38;2;6;"06";1;"N";2;"ELEITO POR QP";155
"AP";"VITÓRIA DO JARI";13;"CELIO LAZAME DAS GRAÇAS";"APTO";25;"DEM";42;2;8;"03";1;"N";2;"ELEITO POR QP";309
"AP";"SANTANA";13;"LUIZ OTAVIO BRANCO PICANÇO";"APTO";23;"CIDADANIA";33;2;8;"03";1;"N";2;"ELEITO POR QP";650
"AP";"TARTARUGALZINHO";13;"EDIVAN CAMPOS MENEZES";"APTO";15;"MDB";40;2;6;"03";1;"N";1;"ELEITO POR MEDIA";206
"AP";"PEDRA BRANCA DO AMAPARI";13;"EVANDRO BRAZÃO FERNANDES";"APTO";25;"DEM";52;2;4;"03";3;"S";1;"ELEITO POR MEDIA";318
"AP";"LARANJAL DO JARI";13;"ELIEZIO PEREIRA MORAES";"APTO";22;"PL";36;2;6;"03";1;"N";1;"ELEITO POR MEDIA";524
"AP";"MAZAGÃO";13;"JOAO PAULO COELHO FERREIRA";"APTO";18;"REDE";33;2;6;"03";1;"N";1;"ELEITO POR MEDIA";397
"AP";"CALÇOENE";13;"RAIMUNDO NONATO BARBOSA ALVES";"APTO";18;"REDE";42;2;6;"02";1;"N";2;"ELEITO POR QP";174
"AP";"LARANJAL DO JARI";13;"JOSÉ DE RIBAMAR PAVÃO";"APTO";43;"PV";42;2;6;"03";1;"N";1;"ELEITO POR MEDIA";295
"AP";"CUTIAS";13;"FRANK JUNIOR ARAUJO ROCHA";"APTO";25;"DEM";41;2;6;"03";3;"S";2;"ELEITO POR QP";247
"AP";"PORTO GRANDE";13;"ROSENDI ANDRADE DOS ANJOS";"APTO";22;"PL";43;2;4;"03";3;"N";1;"ELEITO POR MEDIA";323
"AP";"SANTANA";13;"CARMEM MARINHO QUEIROZ DA PAZ";"APTO";11;"PP";65;4;8;"01";5;"N";1;"ELEITO POR MEDIA";727
"AP";"SERRA DO NAVIO";13;"ELIÂNGELA DE SOUZA GOMES PLIESSNIG";"APTO";25;"DEM";37;4;8;"01";3;"N";2;"ELEITO POR QP";62
"AP";"MACAPÁ";13;"MARAINA KELLEN MARTINS SOUTO";"APTO";19;"PODE";36;4;8;"01";1;"N";1;"ELEITO POR MEDIA";1988
"AP";"PEDRA BRANCA DO AMAPARI";13;"RAIMUNDA GECIANE SILVA DE OLIVEIRA SOUSA";"APTO";10;"REPUBLICANOS";39;4;6;"03";3;"N";2;"ELEITO POR QP";229
"AP";"CUTIAS";13;"JEFFERSON ALVES DOS SANTOS";"APTO";90;"PROS";36;2;8;"03";1;"N";2;"ELEITO POR QP";196
"AP";"AMAPÁ";13;"MAGNO LOBATO MARQUES";"APTO";22;"PL";36;2;6;"03";1;"N";1;"ELEITO POR MEDIA";179
"AP";"FERREIRA GOMES";13;"RADSON DE ALMEIDA PEREIRA";"APTO";11;"PP";45;2;8;"01";3;"N";2;"ELEITO POR QP";392
"AP";"SERRA DO NAVIO";13;"CAMILO DE ALMEIDA MOTA";"APTO";10;"REPUBLICANOS";30;2;6;"03";1;"N";1;"ELEITO POR MEDIA";95
"AP";"PRACUÚBA";13;"LIDIANE OLIVEIRA NUNES";"APTO";90;"PROS";40;4;8;"03";1;"N";2;"ELEITO POR QP";121
"AP";"CALÇOENE";13;"GIBSON COSTA DOS SANTOS";"APTO";25;"DEM";38;2;6;"01";1;"N";2;"ELEITO POR QP";210
"AP";"PRACUÚBA";13;"MARCELO MARÇAL COSTA ALVES";"APTO";12;"PDT";30;2;7;"03";1;"S";1;"ELEITO POR MEDIA";115
"AP";"SERRA DO NAVIO";13;"EMERSON DOS SANTOS SILVA";"APTO";25;"DEM";29;2;6;"03";3;"S";1;"ELEITO POR MEDIA";60
"AP";"MACAPÁ";13;"LUANY CRYSTY FERREIRA FAVACHO SANTOS";"APTO";90;"PROS";39;4;8;"01";5;"N";2;"ELEITO POR QP";2958
"AP";"FERREIRA GOMES";13;"CHIRSTIAN ROGGER CARDOSO ROCHA";"APTO";45;"PSDB";31;2;6;"03";3;"N";1;"ELEITO POR MEDIA";210
"AP";"ITAUBAL";13;"ADILSON RAMOS CASTRO";"APTO";11;"PP";37;2;8;"03";1;"N";2;"ELEITO POR QP";282
"AP";"MACAPÁ";13;"CARLOS MURILO PINHEIRO";"APTO";17;"PSL";50;2;8;"03";3;"S";2;"ELEITO POR QP";1528
"AP";"ITAUBAL";13;"DIEMERSON BARBOSA ALCANTARA";"APTO";11;"PP";33;2;5;"03";3;"N";1;"ELEITO POR MEDIA";181
"AP";"TARTARUGALZINHO";13;"ROSINALDO FARIAS PAIVA";"APTO";10;"REPUBLICANOS";29;2;4;"03";3;"N";2;"ELEITO POR QP";150
"AP";"LARANJAL DO JARI";13;"CLAUDENILDO GOMES DE OLIVEIRA";"APTO";90;"PROS";42;2;5;"03";3;"N";1;"ELEITO POR MEDIA";261
"AP";"PORTO GRANDE";13;"SUELI SILVA DE SOUZA";"APTO";12;"PDT";47;4;6;"03";1;"N";1;"ELEITO POR MEDIA";408
"AP";"SANTANA";13;"BRUNO HEDER ARAUJO DA SILVA DE SOUZA";"APTO";55;"PSD";34;2;8;"01";1;"N";2;"ELEITO POR QP";888
"AP";"LARANJAL DO JARI";13;"FELINTO ALBERTO SILVA MARQUES";"APTO";90;"PROS";51;2;6;"03";1;"N";2;"ELEITO POR QP";308
"AP";"MACAPÁ";13;"ODILSON SERRA NUNES";"APTO";45;"PSDB";42;2;6;"03";3;"N";2;"ELEITO POR QP";2488
"AP";"CUTIAS";13;"GERDSON DOS REIS FERREIRA";"APTO";90;"PROS";37;2;5;"03";1;"N";1;"ELEITO POR MEDIA";159
"AP";"MACAPÁ";13;"ADRIANNA SOCORRO AVILA RAMOS SEGATO";"APTO";20;"PSC";39;4;8;"03";3;"N";1;"ELEITO POR MEDIA";2101
"AP";"MACAPÁ";13;"MARCELO DE MATOS DIAS";"APTO";77;"SOLIDARIEDADE";49;2;6;"03";3;"S";2;"ELEITO POR QP";3401
"AP";"AMAPÁ";13;"WILLIAN MACIEL DA SILVA";"APTO";11;"PP";35;2;8;"03";3;"N";1;"ELEITO POR MEDIA";169
"AP";"VITÓRIA DO JARI";13;"LINDOMAR PASTANA DE OLIVEIRA";"APTO";55;"PSD";43;2;2;"03";1;"S";1;"ELEITO POR MEDIA";182
"AP";"ITAUBAL";13;"DAYANE DAS CHAGAS SANTOS";"APTO";12;"PDT";25;4;8;"03";1;"N";2;"ELEITO POR QP";226
"AP";"CALÇOENE";13;"ENILDO DO SOCORRO SOARES DOS SANTOS";"APTO";22;"PL";47;2;5;"03";1;"N";1;"ELEITO POR MEDIA";190
"AP";"CALÇOENE";13;"ANTÔNIO CLÁUDIO BARATA CHAGAS";"APTO";10;"REPUBLICANOS";46;2;8;"03";1;"N";1;"ELEITO POR MEDIA";159
"AP";"PORTO GRANDE";13;"FRANCINALDO DE SOUZA OLIVEIRA";"APTO";12;"PDT";40;2;3;"03";1;"S";2;"ELEITO POR QP";415
"AP";"PORTO GRANDE";13;"JOLIANNE PEREIRA FONTENELE";"APTO";90;"PROS";22;4;8;"03";1;"N";1;"ELEITO POR MEDIA";164
"AP";"PRACUÚBA";13;"FRANCINEI DIAS AMORAS";"APTO";90;"PROS";41;2;6;"03";3;"S";1;"ELEITO POR MEDIA";101
"AP";"TARTARUGALZINHO";13;"IUANNE MARY CASTILLO GURJÃO FIGUEIREDO";"APTO";12;"PDT";47;4;8;"03";3;"N";2;"ELEITO POR QP";332
"AP";"OIAPOQUE";13;"PEDRO GUIDO NASCIMENTO DE CASTRO";"APTO";45;"PSDB";44;2;4;"03";1;"N";2;"ELEITO POR QP";603
"AP";"SANTANA";13;"ANTONIA DO SOCORRO NOGUEIRA DE SOUZA";"APTO";13;"PT";56;4;8;"03";1;"N";1;"ELEITO POR MEDIA";1090
"AP";"SANTANA";13;"ADELSON BORGES ROCHA";"APTO";65;"PC do B";53;2;8;"03";3;"S";1;"ELEITO POR MEDIA";548
"AP";"PRACUÚBA";13;"FRANK NELSON DIAS DOS PASSOS";"APTO";40;"PSB";45;2;3;"03";1;"N";1;"ELEITO POR MEDIA";78
"AP";"LARANJAL DO JARI";13;"BENEDITO MACHADO DO CARMO";"APTO";55;"PSD";51;2;4;"03";1;"N";2;"ELEITO POR QP";415
"AP";"FERREIRA GOMES";13;"ARLEI BATISTA FERREIRA ISACKSSON";"APTO";23;"CIDADANIA";47;2;8;"03";1;"N";2;"ELEITO POR QP";141
"AP";"MACAPÁ";13;"ANDRE LUIZ ALVES DE LIMA";"APTO";18;"REDE";49;2;8;"03";3;"N";1;"ELEITO POR MEDIA";2879
"AP";"LARANJAL DO JARI";13;"JERONIMO DOS SANTOS DA SILVA";"APTO";45;"PSDB";45;2;3;"03";1;"N";2;"ELEITO POR QP";575
"AP";"MAZAGÃO";13;"LENI LIMA DA CRUZ";"APTO";20;"PSC";46;4;8;"03";1;"N";2;"ELEITO POR QP";376
"AP";"PORTO GRANDE";13;"NELSON DOS SANTOS DOMINGUES";"APTO";25;"DEM";50;2;8;"03";1;"N";1;"ELEITO POR MEDIA";267
"AP";"TARTARUGALZINHO";13;"GLAUCIO PAULA DE OLIVEIRA";"APTO";11;"PP";41;2;8;"03";3;"N";1;"ELEITO POR MEDIA";200
"AP";"VITÓRIA DO JARI";13;"HIGOR MICHEL NEVES DA SILVA";"APTO";22;"PL";33;2;6;"03";1;"N";1;"ELEITO POR MEDIA";92
"AP";"PEDRA BRANCA DO AMAPARI";13;"CICERO VITOR DE MENDONÇA";"APTO";45;"PSDB";38;2;5;"03";3;"N";2;"ELEITO POR QP";326
"AP";"AMAPÁ";13;"MAURÍCIO DE OLIVEIRA SUCUPIRA";"APTO";12;"PDT";42;2;6;"03";1;"N";2;"ELEITO POR QP";238
"AP";"VITÓRIA DO JARI";13;"GERSON CALDEIRA DE FREITAS";"APTO";25;"DEM";51;2;8;"03";1;"S";1;"ELEITO POR MEDIA";206
"AP";"CALÇOENE";13;"KARLUCIO ALVES BATISTA";"APTO";77;"SOLIDARIEDADE";36;2;8;"03";1;"N";1;"ELEITO POR MEDIA";135
"AP";"AMAPÁ";13;"DORIVAN DOS SANTOS SOBRAL";"APTO";12;"PDT";47;2;8;"02";1;"N";2;"ELEITO POR QP";354
"AP";"SANTANA";13;"JOSIVALDO SANTOS ABRANTES";"APTO";12;"PDT";53;2;8;"03";3;"N";2;"ELEITO POR QP";1914
"AP";"SANTANA";13;"DIANA CHAGAS PINTO CASTELO";"APTO";17;"PSL";46;4;8;"03";5;"N";1;"ELEITO POR MEDIA";823
"AP";"SERRA DO NAVIO";13;"WANDERSON PINHEIRO SILVA";"APTO";77;"SOLIDARIEDADE";26;2;8;"03";1;"N";1;"ELEITO POR MEDIA";90
"AP";"PEDRA BRANCA DO AMAPARI";13;"HERMAN MAIA DA CRUZ";"APTO";25;"DEM";38;2;6;"03";1;"N";2;"ELEITO POR QP";399
"AP";"MACAPÁ";13;"EDUARDO DOS SANTOS TAVARES";"APTO";12;"PDT";37;2;8;"02";1;"N";2;"ELEITO POR QP";4853
"AP";"TARTARUGALZINHO";13;"LEANDRO MENDES FERREIRA";"APTO";22;"PL";36;2;6;"02";3;"N";2;"ELEITO POR QP";410
"AP";"LARANJAL DO JARI";13;"VERA LÚCIA DOS SANTOS AGUIAR";"APTO";25;"DEM";54;4;5;"03";3;"S";1;"ELEITO POR MEDIA";519
"AP";"CALÇOENE";13;"RAIMUNDO SOCORRO COSTA DE MORAIS";"APTO";55;"PSD";44;2;6;"02";3;"N";1;"ELEITO POR MEDIA";161
"AP";"TARTARUGALZINHO";13;"JOSÉ ANGELO NUNES DA SILVA";"APTO";11;"PP";40;2;6;"03";3;"N";2;"ELEITO POR QP";269
