"SG_UF";"NM_UE";"CD_CARGO";"NM_CANDIDATO";"DS_SITUACAO_CANDIDATURA";"NR_PARTIDO";"SG_PARTIDO";"NR_IDADE_DATA_POSSE";"CD_GENERO";"CD_GRAU_INSTRUCAO";"CD_COR_RACA";"CD_ESTADO_CIVIL";"ST_REELEICAO";"eleito";"DS_SIT_TOT_TURNO";"NUM_VOTOS"
"AP";"MACAPÁ";13;"JORGE ALCINDO FURTADO ABIDON";"APTO";11;"PP";74;2;6;"03";1;"N";1;"ELEITO POR MEDIA";1444
"AP";"AMAPÁ";13;"KELLEY LOBATO";"APTO";22;"PL";42;4;8;"03";1;"S";2;"ELEITO POR QP";270
"AP";"LARANJAL DO JARI";13;"WILBYSON HAROLDO FERREIRA BATISTA";"APTO";18;"REDE";38;2;8;"03";3;"N";2;"ELEITO POR QP";399
"AP";"MACAPÁ";13;"ARILSON LOBATO MELO";"APTO";28;"PRTB";41;2;6;"03";3;"N";1;"ELEITO POR MEDIA";2914
"AP";"VITÓRIA DO JARI";13;"WANDERSON VIEIRA";"APTO";10;"REPUBLICANOS";33;2;6;"03";1;"N";1;"ELEITO POR MEDIA";193
"AP";"OIAPOQUE";13;"UESLEI NEI DA SILVEIRA TELES";"APTO";90;"PROS";35;2;6;"03";9;"N";2;"ELEITO POR QP";522
"AP";"MACAPÁ";13;"ALEXANDRE RAMOS DA COSTA";"APTO";11;"PP";45;2;8;"02";3;"N";2;"ELEITO POR QP";1521
"AP";"CUTIAS";13;"EVAN CRISTIAN PEREIRA CARVALHO";"APTO";12;"PDT";27;4;7;"03";9;"S";1;"ELEITO POR MEDIA";207
"AP";"VITÓRIA DO JARI";13;"ALDEMIR DUARTE PIRES";"APTO";90;"PROS";30;2;8;"01";1;"N";2;"ELEITO POR QP";218
"AP";"LARANJAL DO JARI";13;"WALCIMAR RIBEIRO FONSECA";"APTO";22;"PL";39;2;6;"02";1;"N";2;"ELEITO POR QP";817
"AP";"PRACUÚBA";13;"JOELSON DOS ANJOS OLIVEIRA";"APTO";55;"PSD";47;2;6;"03";1;"N";1;"ELEITO POR MEDIA";153
"AP";"PRACUÚBA";13;"ABMAEL DAS OLIVEIRA BELO";"APTO";10;"REPUBLICANOS";40;2;6;"06";3;"N";2;"ELEITO POR QP";142
"AP";"SERRA DO NAVIO";13;"NAALIEL ALVES CORREA CASTELO";"APTO";12;"PDT";32;2;6;"01";1;"N";2;"ELEITO POR QP";157
"AP";"ITAUBAL";13;"ODNIWALDO BRAZAO DA COSTA";"APTO";65;"PC do B";44;2;8;"03";3;"N";1;"ELEITO POR MEDIA";171
"AP";"CALÇOENE";13;"WESLEY ALEX CHUMBER DA SILVA";"APTO";22;"PL";31;2;6;"03";3;"N";2;"ELEITO POR QP";394
"AP";"LARANJAL DO JARI";13;"DENIS LIMA CHAGAS";"APTO";45;"PSDB";38;2;6;"02";1;"N";1;"ELEITO POR MEDIA";551
"AP";"SERRA DO NAVIO";13;"FAUSTO JOSÉ DOS SANTOS";"APTO";90;"PROS";46;2;8;"01";1;"N";2;"ELEITO POR QP";190
"AP";"MACAPÁ";13;"CARLOS GABRIEL ANDRADE NONATO";"APTO";25;"DEM";29;2;8;"03";1;"N";1;"ELEITO POR MEDIA";3318
"AP";"TARTARUGALZINHO";13;"ALESSANDRO DE SOUSA DA SILVA";"APTO";55;"PSD";36;2;8;"01";3;"N";1;"ELEITO POR MEDIA";138
"AP";"MACAPÁ";13;"JOÃO MARCO DY SA Y MENDONCA";"APTO";22;"PL";38;2;8;"01";3;"N";1;"ELEITO POR MEDIA";3131
"AP";"SANTANA";13;"HELENA PEREIRA DE LIMA";"APTO";77;"SOLIDARIEDADE";54;4;8;"01";1;"N";2;"ELEITO POR QP";1294
"AP";"OIAPOQUE";13;"YURI ALESI DA SILVA ARAUJO";"APTO";55;"PSD";30;2;8;"03";3;"N";1;"ELEITO POR MEDIA";174
"AP";"SERRA DO NAVIO";13;"FRANCILENE PINTO DE FARIAS";"APTO";10;"REPUBLICANOS";45;4;5;"03";1;"N";2;"ELEITO POR QP";121
"AP";"AMAPÁ";13;"IVANETE ALVES FERREIRA";"APTO";11;"PP";49;4;8;"03";1;"N";2;"ELEITO POR QP";336
"AP";"MAZAGÃO";13;"JOSE LEONICIO DO AMARAL FILHO";"APTO";25;"DEM";46;2;6;"01";1;"N";2;"ELEITO POR QP";603
"AP";"TARTARUGALZINHO";13;"EDY CARLOS BRAZÃO DA SILVA";"APTO";15;"MDB";49;2;6;"03";1;"N";2;"ELEITO POR QP";336
"AP";"OIAPOQUE";13;"CARMINO DA SILVA LAZAME";"APTO";45;"PSDB";51;2;8;"03";3;"N";1;"ELEITO POR MEDIA";175
"AP";"MACAPÁ";13;"PAULO CELSO DE LIMA NERY";"APTO";23;"CIDADANIA";53;2;8;"01";3;"N";1;"ELEITO POR MEDIA";2479
"AP";"SERRA DO NAVIO";13;"OSEIAS DOS SANTOS FILHO";"APTO";10;"REPUBLICANOS";26;2;6;"03";3;"N";2;"ELEITO POR QP";98
"AP";"ITAUBAL";13;"ESTER CANDIDA CHAGAS DA SILVA";"APTO";18;"REDE";56;4;4;"02";1;"N";1;"ELEITO POR MEDIA";256
"AP";"PORTO GRANDE";13;"NARSON DA SILVA SANTOS";"APTO";22;"PL";44;2;8;"03";3;"N";2;"ELEITO POR QP";453
"AP";"MAZAGÃO";13;"ELCIMAR BRAGA DA COSTA";"APTO";22;"PL";41;2;8;"03";3;"N";2;"ELEITO POR QP";489
"AP";"AMAPÁ";13;"AVANIRA DE OLIVEIRA";"APTO";22;"PL";37;4;8;"01";1;"N";2;"ELEITO POR QP";214
"AP";"SANTANA";13;"FRANCISCO DAS CHAGAS GOMES FREIRES";"APTO";12;"PDT";47;2;8;"01";9;"N";1;"ELEITO POR MEDIA";829
"AP";"MACAPÁ";13;"EDINOELSON PEREIRA DA TRINDADE";"APTO";90;"PROS";47;2;8;"03";3;"N";1;"ELEITO POR MEDIA";1314
"AP";"PEDRA BRANCA DO AMAPARI";13;"CRISTINA SERRÃO DE MELO CARMO";"APTO";45;"PSDB";52;4;8;"03";9;"N";1;"ELEITO POR MEDIA";193
"AP";"TARTARUGALZINHO";13;"FELIPE CESAR FERNANDES REZENDE";"APTO";25;"DEM";34;2;8;"01";3;"N";2;"ELEITO POR QP";241
"AP";"LARANJAL DO JARI";13;"UBIMAR QUEIROGA DE SOUZA";"APTO";12;"PDT";57;2;5;"03";1;"N";1;"ELEITO POR MEDIA";581
"AP";"MAZAGÃO";13;"EDIELSON DA SILVA CRUZ";"APTO";90;"PROS";45;2;6;"03";1;"N";2;"ELEITO POR QP";411
"AP";"FERREIRA GOMES";13;"CALLINS OLIVEIRA DOS ANJOS";"APTO";22;"PL";38;2;8;"03";3;"N";2;"ELEITO POR QP";182
"AP";"VITÓRIA DO JARI";13;"JOSIVAN ALVES PRADO";"APTO";15;"MDB";32;2;6;"01";1;"N";1;"ELEITO POR MEDIA";177
"AP";"PEDRA BRANCA DO AMAPARI";13;"EDNALDO DOS SANTOS DINIZ";"APTO";65;"PC do B";50;2;2;"03";3;"N";2;"ELEITO POR QP";173
"AP";"MACAPÁ";13;"CLAUDIOMAR ROSA DA SILVA";"APTO";70;"AVANTE";51;2;8;"03";3;"N";1;"ELEITO POR MEDIA";3468
"AP";"ITAUBAL";13;"ROZINALDO DOS SANTOS COSTA";"APTO";55;"PSD";34;2;6;"01";1;"N";2;"ELEITO POR QP";157
"AP";"SANTANA";13;"JOSINEY PEREIRA ALVES";"APTO";70;"AVANTE";42;2;6;"03";1;"N";2;"ELEITO POR QP";1270
"AP";"PRACUÚBA";13;"DARINTO COSTA OLIVEIRA";"APTO";10;"REPUBLICANOS";41;2;4;"02";3;"N";2;"ELEITO POR QP";111
"AP";"MAZAGÃO";13;"WENDERSON OLIVEIRA DOS SANTOS";"APTO";55;"PSD";26;2;6;"03";1;"N";2;"ELEITO POR QP";549
"AP";"SANTANA";13;"MARCO AURELIO SOUSA DOS SANTOS";"APTO";70;"AVANTE";40;2;8;"01";1;"S";1;"ELEITO POR MEDIA";757
"AP";"AMAPÁ";13;"DAYMO JOÃO SUCUPIRA SILVA NETO";"APTO";11;"PP";37;2;6;"02";1;"N";2;"ELEITO POR QP";271
"AP";"SANTANA";13;"ANGELO NASCIMENTO DOS SANTOS";"APTO";14;"PTB";40;2;6;"03";1;"S";1;"ELEITO POR MEDIA";1105
"AP";"PORTO GRANDE";13;"LUIZ EDUARDO DIAS ARAÚJO";"APTO";12;"PDT";22;2;6;"01";1;"N";2;"ELEITO POR QP";510
"AP";"MAZAGÃO";13;"MARIA DE NAZARE DA SILVA VIEIRA";"APTO";11;"PP";40;4;6;"03";3;"N";2;"ELEITO POR QP";447
"AP";"ITAUBAL";13;"CLEISIEL DA SILVA FERREIRA";"APTO";10;"REPUBLICANOS";38;2;8;"03";1;"N";2;"ELEITO POR QP";254
"AP";"MACAPÁ";13;"JANETE MARIA GOES CAPIBERIBE";"APTO";40;"PSB";71;4;7;"03";3;"N";2;"ELEITO POR QP";2137
"AP";"AMAPÁ";13;"DIEGO MONTEIRO MELO";"APTO";17;"PSL";34;2;6;"03";3;"N";1;"ELEITO POR MEDIA";151
"AP";"PORTO GRANDE";13;"ANTONIO RODRIGUES GALENO";"APTO";11;"PP";56;2;4;"01";3;"N";2;"ELEITO POR QP";353
"AP";"SANTANA";13;"ELMA GARCIA GOMES NASCIMENTO";"APTO";25;"DEM";41;4;8;"03";3;"N";1;"ELEITO POR MEDIA";980
"AP";"MACAPÁ";13;"DANIEL THEODORO PETRAGLIA";"APTO";50;"PSOL";39;2;7;"01";1;"N";1;"ELEITO POR MEDIA";2211
"AP";"MACAPÁ";13;"GIANCARLO DARLÃ PINON NERY";"APTO";15;"MDB";52;2;8;"01";3;"N";1;"ELEITO POR MEDIA";2893
"AP";"MAZAGÃO";13;"ROSIVALDO DOS SANTOS";"APTO";22;"PL";48;2;8;"03";1;"N";1;"ELEITO POR MEDIA";397
"AP";"PORTO GRANDE";13;"JOSÉ DOMINGOS DE ALMEIDA VAZ";"APTO";12;"PDT";52;2;6;"03";1;"S";2;"ELEITO POR QP";411
"AP";"SANTANA";13;"MÁRIO DA SILVA BRANDÃO";"APTO";22;"PL";53;2;8;"03";3;"N";1;"ELEITO POR MEDIA";881
"AP";"OIAPOQUE";13;"JOSÉ NAZARENO RODRIGUES";"APTO";22;"PL";55;2;8;"03";3;"S";1;"ELEITO POR MEDIA";302
"AP";"MACAPÁ";13;"SEBASTIÃO NELSON SILVA DE SOUZA";"APTO";55;"PSD";64;2;8;"01";3;"N";1;"ELEITO POR MEDIA";3352
"AP";"MAZAGÃO";13;"SAULO LOPES BAIA";"APTO";17;"PSL";41;2;6;"03";1;"N";1;"ELEITO POR MEDIA";443
"AP";"CUTIAS";13;"HORTENCIA COELHO MIRA";"APTO";25;"DEM";26;4;6;"03";1;"N";2;"ELEITO POR QP";213
"AP";"PORTO GRANDE";13;"ELIENAI DOS SANTOS SILVA SANTANA";"APTO";17;"PSL";37;4;8;"03";3;"N";1;"ELEITO POR MEDIA";201
"AP";"OIAPOQUE";13;"LUIZ FERNANDO ANIKA DOS SANTOS";"APTO";70;"AVANTE";24;2;6;"03";1;"N";1;"ELEITO POR MEDIA";251
"AP";"FERREIRA GOMES";13;"ALCEU SERRA RABELO";"APTO";11;"PP";35;2;6;"03";3;"N";2;"ELEITO POR QP";203
"AP";"PRACUÚBA";13;"JOILSON GUIMARÃES PASSOS";"APTO";25;"DEM";43;2;4;"03";1;"N";2;"ELEITO POR QP";149
"AP";"FERREIRA GOMES";13;"WELLINGTON BRAGA COSTA";"APTO";11;"PP";38;2;6;"03";3;"N";1;"ELEITO POR MEDIA";178
"AP";"PORTO GRANDE";13;"ALEX LOPES DE SOUZA";"APTO";11;"PP";41;2;6;"03";3;"N";1;"ELEITO POR MEDIA";291
"AP";"CALÇOENE";13;"RENATO JUNIOR MENDES COSTA";"APTO";11;"PP";32;2;6;"02";1;"N";2;"ELEITO POR QP";190
"AP";"MACAPÁ";13;"CARLOS EDUARDO PIMENTEL BARBOSA";"APTO";22;"PL";21;2;7;"01";1;"N";2;"ELEITO POR QP";3402
"AP";"PEDRA BRANCA DO AMAPARI";13;"RAIMUNDO NONATO DE ARAÚJO BENVINDO";"APTO";25;"DEM";56;2;3;"03";3;"S";2;"ELEITO POR QP";369
"AP";"PEDRA BRANCA DO AMAPARI";13;"MATEUS DE SOUZA SILVA";"APTO";45;"PSDB";26;2;8;"02";1;"N";2;"ELEITO POR QP";389
"AP";"ITAUBAL";13;"AILTON BRUNO LIBERATO CRUZ";"APTO";25;"DEM";26;2;7;"03";1;"N";2;"ELEITO POR QP";276
"AP";"OIAPOQUE";13;"REGINALDO SILVA MARQUES";"APTO";17;"PSL";41;2;6;"03";3;"N";1;"ELEITO POR MEDIA";185
"AP";"FERREIRA GOMES";13;"ALEXANDRO BRAZÃO FERREIRA";"APTO";11;"PP";34;2;8;"01";3;"N";1;"ELEITO POR MEDIA";168
"AP";"CUTIAS";13;"WAGNER OLIVEIRA BARRETO";"APTO";90;"PROS";40;2;6;"03";1;"S";1;"ELEITO POR MEDIA";155
"AP";"CUTIAS";13;"EDIVAN DOS SANTOS SANTOS";"APTO";90;"PROS";42;2;6;"03";1;"S";2;"ELEITO POR QP";215
"AP";"MACAPÁ";13;"MANOEL CAETANO BENTES MONTEIRO NETO";"APTO";18;"REDE";39;2;6;"02";3;"N";2;"ELEITO POR QP";3111
"AP";"OIAPOQUE";13;"LILIA RAMOS OLIVEIRA";"APTO";10;"REPUBLICANOS";30;4;7;"05";1;"N";2;"ELEITO POR QP";236
"AP";"FERREIRA GOMES";13;"JOAO MENDES CAMPOS FERREIRA";"APTO";10;"REPUBLICANOS";54;2;8;"03";1;"N";2;"ELEITO POR QP";132
"AP";"CUTIAS";13;"JANIO RABELO MOURÃO";"APTO";19;"PODE";49;2;6;"03";1;"N";2;"ELEITO POR QP";126
"AP";"LARANJAL DO JARI";13;"AMERICO PINHEIRO DOS SANTOS";"APTO";10;"REPUBLICANOS";41;2;8;"03";3;"N";1;"ELEITO POR MEDIA";469
"AP";"FERREIRA GOMES";13;"JACI BRAZAO DOS REIS";"APTO";55;"PSD";42;2;3;"03";3;"N";2;"ELEITO POR QP";128
"AP";"ITAUBAL";13;"DARLIETE TAVARES PALMERIM";"APTO";17;"PSL";42;4;8;"03";1;"S";1;"ELEITO POR MEDIA";176
"AP";"OIAPOQUE";13;"MARCELO MARTINS GUIMARAES";"APTO";25;"DEM";37;2;8;"03";3;"N";2;"ELEITO POR QP";342
